team_id,team_name,idea_title,theme
320,Biomulch Innovators,BioReLeaf: Sustainable Mulching Paper from Sugarcane Biomass,Agriculture / FoodTech / Rural Development
113,Team Kinetic Karma,Hybrid Footstep Power Generation Using Piezoelectric and Rack-Pinion Mechanism,"Clean & Green Technology (Renewable Energy, Sustainability)"
374,Hydro Sense,Hydro Sense ? Preventing Shrimp Loss with Smart IoT Pond Monitoring & Aerator Management System,Agriculture / FoodTech / Rural Development
50,Dushantpreet Singh,Mechanically Intelligent Noise-Shielding Helmet with Passive Acoustic Engineering,Smart Automation
105,Quantum Leapers,P-CRM: AI-Native Smart Grievance Management System for Indian Municipal Corporations,Social Good / Accessibility
178,AUREVO,A Portable LoRa-Based Tourist Safety System for Real-Time Location Tracking and Emergency Alerts in,Tourism & Hospitality
314,SKAY,"Early Rehospitalization Forecasting in AHF Using NT-ProBNP, Body Weight, and Ultrasound via AI.",Tourism & Hospitality
371,AirLink,AirLink: A Cost-Effective ESP-32 Based Smart IoT Drone for Surveillance and Telemetry,Robotics & Drones
17,FarmFort,Smart Farm D-E-Fence: AI-Based Wildlife Detection and Automated Protection System,Smart Automation
31,ZeroLeft,ZeroLeft: AI-Powered Food Redistribution Platform,Agriculture / FoodTech / Rural Development
103,Team Agrinova,AI-Based Smart Drone System for Pest Detection & Crop Health Monitoring,Agriculture / FoodTech / Rural Development
148,CarBon CoDers,Building a Digital Marketplace for Transparent Carbon Credit Trading,"Clean & Green Technology (Renewable Energy, Sustainability)"
343,ClearFrame,Smart Anti-Phishing USB Key for Secure Authentication,FinTech / Blockchain / Cybersecurity
416,DevCore VisionX,VisionX: Low-Cost Wearable Camera with Local AI for Visual Assistance,Smart Automation
420,Cooked Developers,AI-Based MHT-CET College Recommendation System Using Historical Cutoff Analysis,Smart Education
421,InfiniteLoopers,Lumina ? Building India's First Accessibility-Native AI Learning Platform,Smart Education
447,Circuit Breakers,SmartCry: ML Model for Identifying Abnormal Infant Cry Patterns,MedTech / BioTech / HealthTech
626,Team Nova,Civic Sarthi ? AI-Powered Smart Civic Issue Reporting & Resolution System,Social Good / Accessibility
639,PHONIEX,Phoenix V2 Ornithopter: AI-Powered Long-Range Flapping Wing Predator,Robotics & Drones
703,OG HELIX,AI-Powered VR Platform for Immersive Cultural Heritage Preservation,Heritage & Culture
30,Solar Linkers,Rural Electrification via Solar Link ? Smart Peer-to-Peer Energy Sharing System,"Clean & Green Technology (Renewable Energy, Sustainability)"
174,Crew shield,Smart helmet for coal mine workers,Smart Automation
214,Titan Tacticians,Submarine,Defense / Security
308,Team Galactic,Schemesathi - Al-Powered Personalized Government Scheme Navigation Platform,Social Good / Accessibility
350,CodeX,"AI based Orthodontic monitoring system detects issues early, improving treatment and remote care.",MedTech / BioTech / HealthTech
614,Team Error,Proves Wi-Fi fault root cause in 90 seconds. Zero access.,Smart Automation
20,Brahma,Authenticity Validator for Academia,Smart Education
377,Electro Pulse,Electro Pulse: IoT-Based Smart Energy Monitoring & Predictive Optimization System,"Clean & Green Technology (Renewable Energy, Sustainability)"
704,EdgesafeAI,EdgeSafeAI: Real-Time Hazardous Situation Detection Using EdgeAI and Computer Vision.,Social Good / Accessibility
146,BLANC,Secure Chain: Rebuilding India's Paper Land Registry on Blockchain,FinTech / Blockchain / Cybersecurity
419,DevCore BionicHand,A vision?guided robotic hand using ESP8266 and servos to replicate human gestures in real time,MedTech / BioTech / HealthTech
636,SHANYA VTOL,"Shenya VTOL boosts defense response and delivers critical medical aid swiftly, saving lives.",Defense / Security
28,Dr Bubs,Autonomous nanobubble drone: for heat-stressed plant using thermal sensors,Robotics & Drones
147,Tech Pioneers,IoT based Gas and Lpg detection,Disaster Management
443,Team SecureQ,AI-Driven Threat Detection and Response using Quantum Cryptography,FinTech / Blockchain / Cybersecurity
638,AlphaCoders,HeartMitra - AI Powered ECG Smart T-Shirt for Early Heart Attack Prediction,MedTech / BioTech / HealthTech
101,MechMinds,"Design, Performance Analysis and Optimization of a Vertical Axis Wind Turbine","Clean & Green Technology (Renewable Energy, Sustainability)"
109,EarthShield,Smart Earthing Health Monitoring and Alert System (SEHMAS),Smart Automation
171,MECH WARRIORS,Plastic Waste to Fuel Using Solar Reflector Pyrolysis System,"Clean & Green Technology (Renewable Energy, Sustainability)"
643,HelloWorld,AI Based Smart Study Planner with Adaptive Revision for Personalized Learning,Smart Education
323,Sakhi Saathi,Smart Women Safety Device with Voice Activation and GPS Emergency Alert,Defense / Security
409,Vortex,?SkyPaw: Robot Dog with Drone Companion?,Robotics & Drones
635,AgriTadka,?AgriTadka: A Smart Farming with AI & IoT?,Agriculture / FoodTech / Rural Development
21,StockPulse,StockAI: AI-Powered Platform for Real-Time Stock Analysis and Trend Prediction,FinTech / Blockchain / Cybersecurity
22,IPQuest quizzy,IPQuest - Gamified Intellectual Property Learning,Smart Education
154,GenAcoustics,AIML MODEL FOR TRANSMISSION LOSS PREDICTION AND SENSITIVITY STUDY,Smart Automation
566,thriller,AI powered smart Investment advisory system for retail investor,Smart Automation
641,Grid innovators,Smart grid system for society,Smart Automation
664,JARVIS,ArthMitra ? AI-Powered Financial Advisor for Smart Loan & Money Management,FinTech / Blockchain / Cybersecurity
681,The Debuggers,"AI-Powered Decision Engine for Safe, Personalized and Data-Driven Travel Experiences.",Tourism & Hospitality
13,Green Spokes,Hardware Design Using I2C and Automatic Battery Regeneration in E-Cycle,Smart Vehicles
16,Alpha,Predictive Model for Detecting Fraudulent Transactions in Financial Systems,Defense / Security
29,VOLTLOGIC,Automated microgrid monitoring and control using PLC technology(VOLTLOGIC),Smart Automation
155,InnovateHer,HAVEN: Confidential Mental Health Support system for students,Social Good / Accessibility
176,Mavrics,Design and Development of secure UAV with Tamper Resistant Firmware,Defense / Security
218,Team Wattsup,AI-Powered Smart Energy Monitoring System,Smart Automation
642,Path Guardians,PathVision: AI Navigation with Predictive Safety for Visually Impaired,Social Good / Accessibility
32,AGRO TECH,Automated AgroBot for Smart Digging and Controlled Plantation,Agriculture / FoodTech / Rural Development
341,Voltage Warriors,Greenhouse monitoring and control system,Agriculture / FoodTech / Rural Development
613,DealNexus,OfferZone ? Bridging Local Retailers and Customers with Real-Time Deals,Agriculture / FoodTech / Rural Development
637,Tech Crusaders,Immersive AR/VR Lab for Headset-Free Experiential Learning in Computer Engineering.,Smart Education
674,AgriTechs,AgriNova: AI-IoT Precision Agriculture with Real-Time Insights and Digital Agreements,Agriculture / FoodTech / Rural Development
26,NEXUS,AI BASED MONITORING OF SOLAR WIRELESS EV CHARGING AND BATTERY SWAPPING,Smart Vehicles
153,Zeroth Protocol,Edu-Vault: Crowd-Sourced Academic Repository,Smart Education
345,Falcon,Drone + AI-Based Overhead Line Fault Detection,Smart Automation
363,AgroIntel,AgroIntel : AI-Based Precision Farming & Rover System,Agriculture / FoodTech / Rural Development
408,Nirnay,Nirnay:One stop solution for placement preparation for techies !,Smart Education
450,Codeciphers,"Smart StegoGuard - An AI powered system for steganography detection, prevention and transmission",FinTech / Blockchain / Cybersecurity
565,PhantomTrace,SilentEye: Detecting Hidden Cyber Threats in Innocent-Looking Files,FinTech / Blockchain / Cybersecurity
580,Quad Blasters,AI & VR-Based Smart Surveillance System,Smart Automation
